Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_1070_,1.25,4.427e-08,0.000e+00,9.532e-08,1.396e-07
_0946_,1.25,9.614e-08,0.000e+00,4.186e-08,1.380e-07
_0856_,1.25,9.608e-08,0.000e+00,4.186e-08,1.379e-07
_0925_,1.25,9.401e-08,0.000e+00,4.044e-08,1.344e-07
_0819_,1.25,9.213e-08,0.000e+00,4.186e-08,1.340e-07
_0789_,1.25,4.368e-08,0.000e+00,8.730e-08,1.310e-07
_0941_,1.25,9.852e-22,0.000e+00,1.174e-07,1.174e-07
_0914_,1.25,5.360e-11,0.000e+00,1.168e-07,1.168e-07
_0996_,1.25,9.134e-10,0.000e+00,1.125e-07,1.134e-07
_0982_,1.25,9.150e-08,0.000e+00,1.453e-08,1.060e-07
_1031_,1.25,2.421e-08,0.000e+00,7.190e-08,9.611e-08
_1123_,1.25,1.402e-08,0.000e+00,8.126e-08,9.528e-08
_1246_,1.25,1.401e-08,0.000e+00,8.126e-08,9.527e-08
_1248_,1.25,1.285e-08,0.000e+00,8.231e-08,9.516e-08
_1127_,1.25,1.278e-08,0.000e+00,8.231e-08,9.509e-08
_1232_,1.25,5.837e-10,0.000e+00,9.136e-08,9.195e-08
_1228_,1.25,2.255e-09,0.000e+00,8.968e-08,9.194e-08
_1118_,1.25,2.238e-09,0.000e+00,8.968e-08,9.192e-08
_1102_,1.25,8.676e-11,0.000e+00,9.136e-08,9.145e-08
_1210_,1.25,1.278e-11,0.000e+00,9.136e-08,9.137e-08
_1199_,1.25,6.790e-14,0.000e+00,9.136e-08,9.136e-08
_1202_,1.25,1.778e-14,0.000e+00,9.136e-08,9.136e-08
_1229_,1.25,1.240e-09,0.000e+00,8.968e-08,9.092e-08
_1230_,1.25,6.552e-10,0.000e+00,8.968e-08,9.034e-08
_1096_,1.25,1.879e-10,0.000e+00,8.968e-08,8.987e-08
_1225_,1.25,1.849e-10,0.000e+00,8.968e-08,8.987e-08
_1100_,1.25,9.889e-11,0.000e+00,8.968e-08,8.978e-08
_1208_,1.25,1.429e-11,0.000e+00,8.968e-08,8.970e-08
_1091_,1.25,7.402e-12,0.000e+00,8.968e-08,8.969e-08
_1280_,1.25,1.059e-12,0.000e+00,8.968e-08,8.968e-08
_1162_,1.25,1.052e-12,0.000e+00,8.968e-08,8.968e-08
_1147_,1.25,7.686e-14,0.000e+00,8.968e-08,8.968e-08
_1266_,1.25,7.593e-14,0.000e+00,8.968e-08,8.968e-08
_1200_,1.25,2.062e-14,0.000e+00,8.968e-08,8.968e-08
_1086_,1.25,2.053e-14,0.000e+00,8.968e-08,8.968e-08
_1275_,1.25,4.802e-13,0.000e+00,8.231e-08,8.231e-08
_1157_,1.25,4.790e-13,0.000e+00,8.231e-08,8.231e-08
_1219_,1.25,9.819e-11,0.000e+00,8.126e-08,8.136e-08
_0997_,1.25,5.914e-15,0.000e+00,8.055e-08,8.055e-08
_1164_,1.25,1.794e-12,0.000e+00,7.778e-08,7.778e-08
_1115_,1.25,3.077e-09,0.000e+00,7.352e-08,7.660e-08
_1285_,1.25,6.544e-12,0.000e+00,7.556e-08,7.557e-08
_1166_,1.25,1.395e-12,0.000e+00,7.541e-08,7.541e-08
_1190_,1.25,3.482e-10,0.000e+00,7.494e-08,7.529e-08
_1207_,1.25,2.754e-11,0.000e+00,7.494e-08,7.497e-08
_0831_,1.25,5.358e-17,0.000e+00,7.494e-08,7.494e-08
_0806_,1.25,9.072e-10,0.000e+00,7.400e-08,7.491e-08
_1048_,1.25,3.613e-16,0.000e+00,7.476e-08,7.476e-08
_1221_,1.25,8.596e-11,0.000e+00,7.438e-08,7.447e-08
_0999_,1.25,1.834e-16,0.000e+00,7.438e-08,7.438e-08
_1030_,1.25,2.937e-17,0.000e+00,7.432e-08,7.432e-08
_1002_,1.25,2.627e-19,0.000e+00,7.432e-08,7.432e-08
_0841_,1.25,6.180e-18,0.000e+00,7.419e-08,7.419e-08
_1042_,1.25,5.093e-10,0.000e+00,7.344e-08,7.395e-08
_0792_,1.25,9.029e-10,0.000e+00,7.263e-08,7.354e-08
_1121_,1.25,1.010e-13,0.000e+00,7.351e-08,7.351e-08
_1241_,1.25,1.007e-13,0.000e+00,7.351e-08,7.351e-08
_1153_,1.25,9.560e-13,0.000e+00,7.312e-08,7.312e-08
_1272_,1.25,9.491e-13,0.000e+00,7.312e-08,7.312e-08
_0960_,1.25,5.094e-16,0.000e+00,7.301e-08,7.301e-08
_1077_,1.25,1.117e-14,0.000e+00,7.283e-08,7.283e-08
_1044_,1.25,7.238e-16,0.000e+00,7.282e-08,7.282e-08
_1216_,1.25,6.851e-11,0.000e+00,7.263e-08,7.270e-08
_1037_,1.25,5.210e-08,0.000e+00,1.344e-08,6.554e-08
_0904_,1.25,2.548e-08,0.000e+00,3.041e-08,5.589e-08
_1097_,1.25,5.266e-11,0.000e+00,4.754e-08,4.759e-08
_1154_,1.25,1.517e-13,0.000e+00,4.412e-08,4.412e-08
_1273_,1.25,1.517e-13,0.000e+00,4.412e-08,4.412e-08
_1111_,1.25,2.117e-10,0.000e+00,3.815e-08,3.836e-08
_1108_,1.25,1.145e-10,0.000e+00,3.815e-08,3.826e-08
_1131_,1.25,6.816e-11,0.000e+00,3.815e-08,3.821e-08
_1132_,1.25,6.795e-11,0.000e+00,3.815e-08,3.821e-08
_1286_,1.25,1.410e-12,0.000e+00,3.815e-08,3.815e-08
_1083_,1.25,1.983e-15,0.000e+00,3.815e-08,3.815e-08
_0815_,1.25,1.397e-16,0.000e+00,3.815e-08,3.815e-08
_0836_,1.25,1.056e-17,0.000e+00,3.815e-08,3.815e-08
_0846_,1.25,6.887e-19,0.000e+00,3.815e-08,3.815e-08
_1021_,1.25,1.823e-20,0.000e+00,3.815e-08,3.815e-08
_1243_,1.25,7.787e-09,0.000e+00,2.924e-08,3.703e-08
_1217_,1.25,5.246e-11,0.000e+00,2.921e-08,2.926e-08
_1025_,1.25,1.521e-08,0.000e+00,8.175e-09,2.339e-08
_0966_,1.25,1.022e-08,0.000e+00,1.151e-08,2.172e-08
_0978_,1.25,7.130e-21,0.000e+00,1.855e-08,1.855e-08
_0940_,1.25,3.510e-10,0.000e+00,1.571e-08,1.606e-08
_1009_,1.25,8.216e-09,0.000e+00,7.787e-09,1.600e-08
_0962_,1.25,1.039e-21,0.000e+00,1.571e-08,1.571e-08
_1283_,1.25,3.949e-12,0.000e+00,1.556e-08,1.556e-08
_1000_,1.25,9.845e-19,0.000e+00,1.556e-08,1.556e-08
_0991_,1.25,6.206e-10,0.000e+00,1.359e-08,1.421e-08
_1035_,1.25,2.345e-16,0.000e+00,1.394e-08,1.394e-08
_1029_,1.25,1.195e-16,0.000e+00,1.317e-08,1.317e-08
_1023_,1.25,2.843e-18,0.000e+00,1.317e-08,1.317e-08
_0915_,1.25,7.275e-16,0.000e+00,1.003e-08,1.003e-08
